blkgrp,area_median_income,ht_rent
'240217512024',89826,68.196475
'240217512031',89826,64.4041175
'240217512032',89826,47.034065
'240217512033',89826,58.74295125
'240217513011',89826,52.64267
'240217513012',89826,57.59307
'240217513021',89826,54.84241125
'240217513022',89826,57.95930875
'240217516001',89826,61.59332875
'240217516002',89826,52.93548
'240217517011',89826,52.1592275
'240217517012',89826,55.99347625
'240217517013',89826,63.6074125
'240217517021',89826,53.8999725
'240217517022',89826,53.86746375
'240217517023',89826,56.7103125
'240217518011',89826,67.813935
'240217518012',89826,59.18315
'240217518013',89826,86.72226375
'240217518014',89826,54.40873375
'240217518021',89826,55.303045
'240217518022',89826,45.52284375
'240217518023',89826,63.37362875
'240217519011',89826,54.9046525
'240217519012',89826,69.24321625
'240217519013',89826,72.88296125
'240217519021',89826,68.70339375
'240217519022',89826,59.40517375
'240217519023',89826,60.92174375
'240217519031',89826,67.0309375
'240217519032',89826,64.7261525
'240217519033',89826,66.25123625
'240217519034',89826,59.81804125
'240217519035',89826,67.0174
'240217519036',89826,64.5932725
'240217519041',89826,56.04053625
'240217519042',89826,60.4672475
'240217520011',89826,58.52035375
'240217520012',89826,61.33336125
'240217520013',89826,86.67864625
'240217521011',89826,87.12769875
'240217521012',89826,63.76794875
'240217521021',89826,63.40644375
'240217521022',89826,59.7119175
'240217521023',89826,42.47559625
'240217521024',89826,85.260765
'240217522011',89826,62.94515
'240217522012',89826,54.564815
'240217522021',89826,71.57438875
'240217522022',89826,57.97464125
'240217522023',89826,82.45198625
'240217522041',89826,60.65326875
'240217522042',89826,86.51916625
'240217522043',89826,61.22529125
'240217522044',89826,83.68450875
